Size_mm,CDM_near,CDM_far
25,6,13
26,7,15
27,6,11
28,4,18
29,2,15
30,3,23
31,5,20
32,6,13
33,3,7
34,2,5
35,4,15
36,3,5
37,4,13
38,3,12
39,1,3
40,5,8
41,3,8
42,3,4
43,2,1
44,1,2
45,0,4
46,0,5
47,0,5
48,1,1
49,1,2
50,1,3
51,0,1
52,0,1
53,0,1
54,0,1
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
,,
,,
