ID,Site,Impact,Date,Size_mm
3746,CDM_near,High,2020-10-16,25
3747,CDM_near,High,2020-10-16,25
3748,CDM_near,High,2020-10-16,25
3749,CDM_near,High,2020-10-16,25
3750,CDM_near,High,2020-10-16,25
3751,CDM_near,High,2020-10-16,25
3752,CDM_near,High,2020-10-16,26
3753,CDM_near,High,2020-10-16,26
3754,CDM_near,High,2020-10-16,26
3755,CDM_near,High,2020-10-16,26
3756,CDM_near,High,2020-10-16,26
3757,CDM_near,High,2020-10-16,26
3758,CDM_near,High,2020-10-16,26
3759,CDM_near,High,2020-10-16,27
3760,CDM_near,High,2020-10-16,27
3761,CDM_near,High,2020-10-16,27
3762,CDM_near,High,2020-10-16,27
3763,CDM_near,High,2020-10-16,27
3764,CDM_near,High,2020-10-16,27
3765,CDM_near,High,2020-10-16,28
3766,CDM_near,High,2020-10-16,28
3767,CDM_near,High,2020-10-16,28
3768,CDM_near,High,2020-10-16,28
3769,CDM_near,High,2020-10-16,29
3770,CDM_near,High,2020-10-16,29
3771,CDM_near,High,2020-10-16,30
3772,CDM_near,High,2020-10-16,30
3773,CDM_near,High,2020-10-16,30
3774,CDM_near,High,2020-10-16,31
3775,CDM_near,High,2020-10-16,31
3776,CDM_near,High,2020-10-16,31
3777,CDM_near,High,2020-10-16,31
3778,CDM_near,High,2020-10-16,31
3779,CDM_near,High,2020-10-16,32
3780,CDM_near,High,2020-10-16,32
3781,CDM_near,High,2020-10-16,32
3782,CDM_near,High,2020-10-16,32
3783,CDM_near,High,2020-10-16,32
3784,CDM_near,High,2020-10-16,32
3785,CDM_near,High,2020-10-16,33
3786,CDM_near,High,2020-10-16,33
3787,CDM_near,High,2020-10-16,33
3788,CDM_near,High,2020-10-16,34
3789,CDM_near,High,2020-10-16,34
3790,CDM_near,High,2020-10-16,35
3791,CDM_near,High,2020-10-16,35
3792,CDM_near,High,2020-10-16,35
3793,CDM_near,High,2020-10-16,35
3794,CDM_near,High,2020-10-16,36
3795,CDM_near,High,2020-10-16,36
3796,CDM_near,High,2020-10-16,36
3797,CDM_near,High,2020-10-16,37
3798,CDM_near,High,2020-10-16,37
3799,CDM_near,High,2020-10-16,37
3800,CDM_near,High,2020-10-16,37
3801,CDM_near,High,2020-10-16,38
3802,CDM_near,High,2020-10-16,38
3803,CDM_near,High,2020-10-16,38
3804,CDM_near,High,2020-10-16,39
3805,CDM_near,High,2020-10-16,40
