size_mm,location,count,team,entered_by,qaqc_by,qaqc_count,FLAG
25,far,1,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,1,
26,far,4,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,4,
27,far,5,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,5,
28,far,3,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,3,
29,far,7,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,7,
30,far,7,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,7,
31,far,7,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,7,
32,far,3,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,3,
33,far,3,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,3,
34,far,8,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,8,
35,far,5,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,5,
36,far,6,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,6,
37,far,3,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,3,
38,far,1,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,1,
39,far,4,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,4,
40,far,2,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,2,
41,far,2,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,2,
42,far,0,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,0,
43,far,1,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,1,
44,far,1,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,1,
45,far,2,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,2,
46,far,2,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,2,
47,far,1,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,1,
48,far,0,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,0,
49,far,0,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,0,
50,far,1,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,1,
51,far,0,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,0,
52,far,1,"Janet G., Summer C., Jazzmyn L. ",JG,JKL,1,
