location,team,entered_by,size_mm,numbsquares,mesh_terr_area_mm_sq,terr_length_mm,terr_width_mm,diamond_terr_area_mm2,qaqc_by,qaqc_size,qaqc_squares,qaqc_length,qaqc_width,FLAG
,EXAMPLE,EXAMPLE,26,4,40000,142,87,6177,EXAMPLE,26,4,142,88,FLAG
far,"Janet G., Summer C., Jazzmyn L.",SC,36,20,200000,909,300,136350,Alisha ,36,20,909,200,
far,"Janet G., Summer C., Jazzmyn L.",SC,35,14,140000,315,115,18112.5,Alisha ,34,14,315,115,
far,"Janet G., Summer C., Jazzmyn L.",SC,26,5,50000,335,75,12562.5,Alisha ,26,5,335,75,
far,"Janet G., Summer C., Jazzmyn L.",SC,37,3,30000,225,90,10125,Alisha ,37,3,225,90,
far,"Janet G., Summer C., Jazzmyn L.",SC,45,9,90000,365,125,22812.5,Alisha ,45,9,365,125,
far,"Janet G., Summer C., Jazzmyn L.",SC,27,3,30000,225,65,7312.5,Alisha ,27,3,225,65,
far,"Janet G., Summer C., Jazzmyn L.",SC,43,4,40000,215,95,10212.5,Alisha ,43,4,215,95,
far,"Janet G., Summer C., Jazzmyn L.",SC,41,8,80000,275,225,30937.5,Alisha ,41,8,275,225,
near,"Nicolas M., Garrett K., Erin T.",NM,51,10,100000,,,0,GK,51,10,,,
near,"Nicolas M., Garrett K., Erin T.",NM,44,10.5,105000,,,0,GK,44,10.5,,,
near,"Nicolas M., Garrett K., Erin T.",NM,47,6,60000,,,0,GK,47,6,,,
near,"Nicolas M., Garrett K., Erin T.",NM,51,9,90000,,,0,GK,51,9,,,
near,"Nicolas M., Garrett K., Erin T.",NM,37,14,140000,,,0,GK,37,14,,,
near,"Nicolas M., Garrett K., Erin T.",NM,45,13.5,135000,,,0,GK,45,13.5,,,
near,"Nicolas M., Garrett K., Erin T.",NM,51,10,100000,,,0,GK,51,10,,,
far,"Alexiss R., Janeen G., Alondra R.S. ",JG,42,8,80000,200,300,30000,ARS,42,8,200,300,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,35,6,60000,330,270,44550,ARS,35,6,330,270,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,24,1.5,15000,95,120,5700,ARS,24,1.5,95,120,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,40,9.5,95000,300,640,96000,ARS,40,9.5,300,640,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,34,5.5,55000,350,100,17500,ARS,34,5.5,350,100,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,33,4,40000,80,600,24000,ARS,33,4,80,600,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,27,2,20000,340,750,127500,ARS,27,2,340,750,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,32,1.5,15000,70,100,3500,ARS,32,1.5,70,100,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,38,7,70000,350,230,40250,ARS,38,7,350,230,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,31,2.5,25000,90,310,13950,ARS,31,2.5,90,310,
far,"Alexiss R., Janeen G., Alondra R.S.",JG,39,2,20000,200,100,10000,ARS,39,2,200,100,
near,"Nina, Audrey, Brent, Darien",DC,25,4,40000,,,0,BC,25,4,,,
near,"Nina, Audrey, Brent, Darien",DC,32,3,30000,,,0,BC,32,3,,,
near,"Nina, Audrey, Brent, Darien",DC,32,1,10000,,,0,BC,32,1,,,
near,"Nina, Audrey, Brent, Darien",DC,36,2.5,25000,,,0,BC,36,2.5,,,
near,"Nina, Audrey, Brent, Darien",DC,25,2,20000,,,0,BC,25,2,,,
near,"Nina, Audrey, Brent, Darien",DC,28,0.5,5000,,,0,BC,28,0.5,,,
near,"Nina, Audrey, Brent, Darien",DC,25,0.5,5000,,,0,BC,25,0.5,,,
near,"Nina, Audrey, Brent, Darien",DC,25,0.5,5000,,,0,BC,25,0.5,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
,,,,,0,,,0,,,,,,
